date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:42:49	170581/170581	---M-Z	200	added ('OK')	text/html	etag:%220a4f02cdbf2dc1:0%22	https://app.docflite.com/Calculators/RCQ/Calculator.html?utm-source=fb&utm_medium=dcbn-page&fbclid=IwZnRzaAQNWzpleHRuA2FlbQIxMQBzcnRjBmFwcF9pZAo2NjI4NTY4Mzc5AAEe-VMiencb2q4N21FWxk5ACp0uJ2n4WEWhqWcrPRaUlOz-qGT9g2M-kpvawLc_aem_4FS5t1_FAilXy23rlD7R1g	C:/My%20Web%20Sites/docflite/app.docflite.com/Calculators/RCQ/Calculatorcd33.html	(from )
14:42:51	1921/1921	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2010%20Jun%202026%2013:42:51%20GMT	https://app.docflite.com/robots.txt		(from )
14:42:54	72380/72380	---M-Z	200	added ('OK')	application/javascript	etag:W/%2228feccc0-11abc%22	https://code.jquery.com/jquery-3.5.1.slim.min.js	C:/My%20Web%20Sites/docflite/code.jquery.com/jquery-3.5.1.slim.min.js	(from https://app.docflite.com/Calculators/RCQ/Calculator.html?utm-source=fb&utm_medium=dcbn-page&fbclid=IwZnRzaAQNWzpleHRuA2FlbQIxMQBzcnRjBmFwcF9pZAo2NjI4NTY4Mzc5AAEe-VMiencb2q4N21FWxk5ACp0uJ2n4WEWhqWcrPRaUlOz-qGT9g2M-kpvawLc_aem_4FS5t1_FAilXy23rlD7R1g)
14:42:57	21233/21233	---M-Z	200	added ('OK')	application/javascript	etag:W/%2252f1-MTeJyg4xtlR4TbuosPg/Nk+Gg7Q%22	https://cdn.jsdelivr.net/npm/popper.js@1.16.1/dist/umd/popper.min.js	C:/My%20Web%20Sites/docflite/cdn.jsdelivr.net/npm/popper.js@1.16.1/dist/umd/popper.min.js	(from https://app.docflite.com/Calculators/RCQ/Calculator.html?utm-source=fb&utm_medium=dcbn-page&fbclid=IwZnRzaAQNWzpleHRuA2FlbQIxMQBzcnRjBmFwcF9pZAo2NjI4NTY4Mzc5AAEe-VMiencb2q4N21FWxk5ACp0uJ2n4WEWhqWcrPRaUlOz-qGT9g2M-kpvawLc_aem_4FS5t1_FAilXy23rlD7R1g)
14:42:58	60044/60044	---MCZ	200	added ('OK')	application/javascript	etag:W/%2202d223393e00c273efdcb1ade8f4f8b1%22	https://stackpath.bootstrapcdn.com/bootstrap/4.5.2/js/bootstrap.min.js	C:/My%20Web%20Sites/docflite/stackpath.bootstrapcdn.com/bootstrap/4.5.2/js/bootstrap.min.js	(from https://app.docflite.com/Calculators/RCQ/Calculator.html?utm-source=fb&utm_medium=dcbn-page&fbclid=IwZnRzaAQNWzpleHRuA2FlbQIxMQBzcnRjBmFwcF9pZAo2NjI4NTY4Mzc5AAEe-VMiencb2q4N21FWxk5ACp0uJ2n4WEWhqWcrPRaUlOz-qGT9g2M-kpvawLc_aem_4FS5t1_FAilXy23rlD7R1g)
14:43:00	160302/160302	---MCZ	200	added ('OK')	text/css	etag:W/%22816af0eddd3b4822c2756227c7e7b7ee%22	https://stackpath.bootstrapcdn.com/bootstrap/4.5.2/css/bootstrap.min.css	C:/My%20Web%20Sites/docflite/stackpath.bootstrapcdn.com/bootstrap/4.5.2/css/bootstrap.min.css	(from https://app.docflite.com/Calculators/RCQ/Calculator.html?utm-source=fb&utm_medium=dcbn-page&fbclid=IwZnRzaAQNWzpleHRuA2FlbQIxMQBzcnRjBmFwcF9pZAo2NjI4NTY4Mzc5AAEe-VMiencb2q4N21FWxk5ACp0uJ2n4WEWhqWcrPRaUlOz-qGT9g2M-kpvawLc_aem_4FS5t1_FAilXy23rlD7R1g)
14:43:02	177368/177368	---M--	200	added ('OK')	text/javascript	date:Fri,%2008%20Apr%202022%2018:15:00%20GMT	https://ajax.googleapis.com/ajax/libs/angularjs/1.8.3/angular.min.js	C:/My%20Web%20Sites/docflite/ajax.googleapis.com/ajax/libs/angularjs/1.8.3/angular.min.js	(from https://app.docflite.com/Calculators/RCQ/Calculator.html?utm-source=fb&utm_medium=dcbn-page&fbclid=IwZnRzaAQNWzpleHRuA2FlbQIxMQBzcnRjBmFwcF9pZAo2NjI4NTY4Mzc5AAEe-VMiencb2q4N21FWxk5ACp0uJ2n4WEWhqWcrPRaUlOz-qGT9g2M-kpvawLc_aem_4FS5t1_FAilXy23rlD7R1g)
14:43:02	125654/125654	---MCZ	200	added ('OK')	application/javascript	date:Mon,%2025%20May%202020%2010:26:13%20GMT	https://cdnjs.cloudflare.com/ajax/libs/angular-ui-bootstrap/2.5.6/ui-bootstrap-tpls.min.js	C:/My%20Web%20Sites/docflite/cdnjs.cloudflare.com/ajax/libs/angular-ui-bootstrap/2.5.6/ui-bootstrap-tpls.min.js	(from https://app.docflite.com/Calculators/RCQ/Calculator.html?utm-source=fb&utm_medium=dcbn-page&fbclid=IwZnRzaAQNWzpleHRuA2FlbQIxMQBzcnRjBmFwcF9pZAo2NjI4NTY4Mzc5AAEe-VMiencb2q4N21FWxk5ACp0uJ2n4WEWhqWcrPRaUlOz-qGT9g2M-kpvawLc_aem_4FS5t1_FAilXy23rlD7R1g)
14:43:05	2114/2114	---M-Z	200	added ('OK')	application/x-javascript	etag:%220d1212edbf2dc1:0%22	https://app.docflite.com/Scripts/tracking/mixpanel.js	C:/My%20Web%20Sites/docflite/app.docflite.com/Scripts/tracking/mixpanel.js	(from https://app.docflite.com/Calculators/RCQ/Calculator.html?utm-source=fb&utm_medium=dcbn-page&fbclid=IwZnRzaAQNWzpleHRuA2FlbQIxMQBzcnRjBmFwcF9pZAo2NjI4NTY4Mzc5AAEe-VMiencb2q4N21FWxk5ACp0uJ2n4WEWhqWcrPRaUlOz-qGT9g2M-kpvawLc_aem_4FS5t1_FAilXy23rlD7R1g)
14:43:06	364463/364463	---MCZ	200	added ('OK')	application/javascript	date:Fri,%2028%20Jan%202022%2019:00:57%20GMT	https://cdnjs.cloudflare.com/ajax/libs/jspdf/2.5.1/jspdf.umd.min.js	C:/My%20Web%20Sites/docflite/cdnjs.cloudflare.com/ajax/libs/jspdf/2.5.1/jspdf.umd.min.js	(from https://app.docflite.com/Calculators/RCQ/Calculator.html?utm-source=fb&utm_medium=dcbn-page&fbclid=IwZnRzaAQNWzpleHRuA2FlbQIxMQBzcnRjBmFwcF9pZAo2NjI4NTY4Mzc5AAEe-VMiencb2q4N21FWxk5ACp0uJ2n4WEWhqWcrPRaUlOz-qGT9g2M-kpvawLc_aem_4FS5t1_FAilXy23rlD7R1g)
